id_camera,bairro,subprefeitura,id_h3,is_bolsao,id_bolsao,bolsao_latitude,bolsao_longitude,bolsao_classe_atual,bacia,sub_bacia,geometry_bolsao_buffer_0.002
000001,Centro,Centro,88a8a06a01fffff,,,,,,,,
000002,Centro,Centro,88a8a06a0bfffff,,,,,,,,
000003,Centro,Centro,88a8a06a57fffff,,,,,,,,
000005,Glória,Centro,88a8a06a47fffff,,,,,,,,
000006,Centro,Centro,88a8a06a09fffff,,,,,,,,
000007,Galeão,Ilhas,88a8a06f63fffff,,,,,,,,
000008,Centro,Centro,88a8a06a55fffff,,,,,,,,
000009,Centro,Centro,88a8a06a0dfffff,,,,,,,,
000010,Centro,Centro,88a8a06a51fffff,,,,,,,,
000011,Estácio,Centro,88a8a06a5bfffff,,,,,,,,
000012,Laranjeiras,Zona Sul,88a8a078b5fffff,,,,,,,,
000013,Botafogo,Zona Sul,88a8a078a3fffff,TRUE,60,-22.94343274,-43.1826426,PC,G,Botafogo,"POLYGON ((-43.1806426023 -22.9434327448, -43.180652232846654 -22.943628779080658, -43.18068103173919 -22.94382292544403, -43.18072872162853 -22.944013314154507, -43.18079484323498 -22.94419811166473, -43.1808787597713 -22.94437553827365, -43.1809796630754 -22.94454388526604, -43.18109658139328 -22.944701531368327, -43.18122838873763 -22.944846958362373, -43.181373815731675 -22.944978765706725, -43.18153146183396 -22.945095684024604, -43.181699808826345 -22.945196587328695, -43.181877235435266 -22.94528050386502, -43.18206203294549 -22.945346625471462, -43.18225242165597 -22.945394315360804, -43.18244656801934 -22.945423114253344, -43.1826426023 -22.945432744799998, -43.18283863658066 -22.945423114253344, -43.18303278294403 -22.945394315360804, -43.18322317165451 -22.945346625471462, -43.18340796916473 -22.94528050386502, -43.183585395773655 -22.945196587328695, -43.18375374276604 -22.945095684024604, -43.183911388868324 -22.944978765706725, -43.18405681586237 -22.944846958362373, -43.18418862320672 -22.944701531368327, -43.1843055415246 -22.94454388526604, -43.184406444828696 -22.94437553827365, -43.18449036136502 -22.94419811166473, -43.184556482971466 -22.944013314154507, -43.18460417286081 -22.94382292544403, -43.184632971753345 -22.943628779080658, -43.1846426023 -22.9434327448, -43.184632971753345 -22.94323671051934, -43.18460417286081 -22.943042564155967, -43.184556482971466 -22.94285217544549, -43.18449036136502 -22.94266737793527, -43.184406444828696 -22.942489951326348, -43.1843055415246 -22.94232160433396, -43.18418862320672 -22.94216395823167, -43.18405681586237 -22.942018531237625, -43.183911388868324 -22.941886723893273, -43.18375374276604 -22.941769805575394, -43.183585395773655 -22.941668902271303, -43.18340796916473 -22.941584985734977, -43.18322317165451 -22.941518864128536, -43.18303278294403 -22.941471174239194, -43.18283863658066 -22.941442375346654, -43.1826426023 -22.9414327448, -43.18244656801934 -22.941442375346654, -43.18225242165597 -22.941471174239194, -43.18206203294549 -22.941518864128536, -43.181877235435266 -22.941584985734977, -43.181699808826345 -22.941668902271303, -43.18153146183396 -22.941769805575394, -43.181373815731675 -22.941886723893273, -43.18122838873763 -22.942018531237625, -43.18109658139328 -22.94216395823167, -43.1809796630754 -22.94232160433396, -43.1808787597713 -22.942489951326348, -43.18079484323498 -22.94266737793527, -43.18072872162853 -22.94285217544549, -43.18068103173919 -22.943042564155967, -43.180652232846654 -22.94323671051934, -43.1806426023 -22.9434327448))"
000014,Botafogo,Zona Sul,88a8a078abfffff,TRUE,2,-22.94936755,-43.18484537,PC,G,Praia de Botafogo,"POLYGON ((-43.182845371199996 -22.9493675527, -43.18285500174665 -22.94956358698066, -43.18288380063919 -22.949757733344033, -43.18293149052853 -22.949948122054508, -43.182997612134976 -22.95013291956473, -43.1830815286713 -22.95031034617365, -43.183182431975396 -22.95047869316604, -43.183299350293275 -22.95063633926833, -43.18343115763763 -22.950781766262374, -43.18357658463167 -22.950913573606726, -43.18373423073396 -22.951030491924605, -43.18390257772634 -22.951131395228696, -43.184080004335264 -22.951215311765022, -43.18426480184549 -22.951281433371463, -43.184455190555965 -22.951329123260805, -43.184649336919335 -22.951357922153345, -43.1848453712 -22.9513675527, -43.18504140548066 -22.951357922153345, -43.18523555184403 -22.951329123260805, -43.18542594055451 -22.951281433371463, -43.18561073806473 -22.951215311765022, -43.18578816467365 -22.951131395228696, -43.185956511666035 -22.951030491924605, -43.18611415776832 -22.950913573606726, -43.18625958476237 -22.950781766262374, -43.18639139210672 -22.95063633926833, -43.1865083104246 -22.95047869316604, -43.186609213728694 -22.95031034617365, -43.18669313026502 -22.95013291956473, -43.186759251871464 -22.949948122054508, -43.18680694176081 -22.949757733344033, -43.18683574065334 -22.94956358698066, -43.1868453712 -22.9493675527, -43.18683574065334 -22.94917151841934, -43.18680694176081 -22.948977372055968, -43.186759251871464 -22.948786983345492, -43.18669313026502 -22.94860218583527, -43.186609213728694 -22.94842475922635, -43.1865083104246 -22.94825641223396, -43.18639139210672 -22.94809876613167, -43.18625958476237 -22.947953339137626, -43.18611415776832 -22.947821531793274, -43.185956511666035 -22.947704613475395, -43.18578816467365 -22.947603710171304, -43.18561073806473 -22.947519793634978, -43.18542594055451 -22.947453672028537, -43.18523555184403 -22.947405982139195, -43.18504140548066 -22.947377183246655, -43.1848453712 -22.9473675527, -43.184649336919335 -22.947377183246655, -43.184455190555965 -22.947405982139195, -43.18426480184549 -22.947453672028537, -43.184080004335264 -22.947519793634978, -43.18390257772634 -22.947603710171304, -43.18373423073396 -22.947704613475395, -43.18357658463167 -22.947821531793274, -43.18343115763763 -22.947953339137626, -43.183299350293275 -22.94809876613167, -43.183182431975396 -22.94825641223396, -43.1830815286713 -22.94842475922635, -43.182997612134976 -22.94860218583527, -43.18293149052853 -22.948786983345492, -43.18288380063919 -22.948977372055968, -43.18285500174665 -22.94917151841934, -43.182845371199996 -22.9493675527))"
000015,Botafogo,Zona Sul,88a8a07887fffff,,,,,,,,
000016,Jardim Botânico,Zona Sul,88a8a078d7fffff,,,,,,,,
